feedback,sentiment,timestamp,department,patient_age_group,visit_type
"Acceptable cleanliness. Additionally, Treatment was as expected.",1,2024-07-29 11:26:59.466964,General Medicine,18-30,Procedure
Spent hours waiting.,0,2024-07-29 11:26:59.467430,Pediatrics,75+,Routine Checkup
The healthcare provider was okay. Normal wait times. Treatment was as expected.,1,2024-07-29 11:26:59.467603,Neurology,46-60,Follow-up
Poor treatment experience. Spent hours waiting.,0,2024-07-29 11:26:59.468678,Cardiology,46-60,Emergency
Very effective treatment.,2,2024-07-29 11:26:59.469781,Neurology,31-45,Emergency
The specialist was okay.,1,2024-07-29 11:26:59.472222,Emergency,18-30,Routine Checkup
Uncomfortable environment.,0,2024-07-29 11:26:59.473901,Pediatrics,61-75,Emergency
"The wait was reasonable. Moreover, nurse did their job as expected.",1,2024-07-29 11:26:59.479109,Obstetrics,31-45,Follow-up
The medical team was extremely professional and caring.,2,2024-07-29 11:26:59.479292,General Medicine,31-45,Procedure
"Regular interaction with the healthcare provider. Additionally, Treatment was as expected. Additionally, Acceptable cleanliness.",1,2024-07-29 11:26:59.480698,Neurology,18-30,Follow-up
"specialist did their job as expected. Additionally, Acceptable cleanliness.",1,2024-07-29 11:26:59.481965,Cardiology,75+,Procedure
"Basic but functional facility. Moreover, Average waiting time.",1,2024-07-29 11:26:59.482569,Cardiology,18-30,Emergency
Exceptional service from the surgeon.,2,2024-07-29 11:26:59.484408,Pediatrics,75+,Follow-up
"Excellent treatment results. Also, No delays in the appointment.",2,2024-07-29 11:26:59.484678,Orthopedics,31-45,Routine Checkup
No delays in the appointment.,2,2024-07-29 11:26:59.488396,Obstetrics,18-30,Consultation
"The waiting time was frustrating. Additionally, Not happy with the results. Additionally, The care team didn't address my concerns.",0,2024-07-29 11:26:59.489588,Surgery,46-60,Routine Checkup
The physician was not very helpful. Unsatisfactory treatment outcome. Spent hours waiting.,0,2024-07-29 11:26:59.489906,Cardiology,18-30,Emergency
Excellent treatment results.,2,2024-07-29 11:26:59.492171,Emergency,18-30,Procedure
Got seen right away.,2,2024-07-29 11:26:59.492640,General Medicine,75+,Routine Checkup
"The medical team was not very helpful. Also, Cleanliness issues in the facility.",0,2024-07-29 11:26:59.492862,Orthopedics,75+,Consultation
"The nurse was present when needed. Additionally, Standard procedure. Additionally, Regular facility conditions.",1,2024-07-29 11:26:59.493051,Orthopedics,61-75,Follow-up
Standard hospital environment. The specialist was present when needed.,1,2024-07-30 11:26:59.455154,Neurology,75+,Follow-up
"Very efficient process. Moreover, State-of-the-art equipment. Moreover, The procedure went very well.",2,2024-07-30 11:26:59.456836,Neurology,31-45,Consultation
"Great outcome from the treatment. Moreover, Exceptional service from the staff member. Moreover, Impressed with how quickly I was seen.",2,2024-07-30 11:26:59.459419,Orthopedics,46-60,Consultation
Impressed with how quickly I was seen.,2,2024-07-30 11:26:59.462710,Emergency,75+,Consultation
Excellent facilities.,2,2024-07-30 11:26:59.463103,Orthopedics,31-45,Routine Checkup
The procedure didn't help much.,0,2024-07-30 11:26:59.464989,General Medicine,75+,Routine Checkup
Excellent treatment results! No delays in the appointment! surgeon provided excellent care and attention.,2,2024-07-30 11:26:59.466832,Surgery,61-75,Routine Checkup
"Unacceptable delays. Additionally, Poor communication from the care team.",0,2024-07-30 11:26:59.467497,Orthopedics,75+,Consultation
The waiting time was frustrating.,0,2024-07-30 11:26:59.468437,Pediatrics,75+,Procedure
Normal wait times.,1,2024-07-30 11:26:59.471620,Emergency,75+,Follow-up
The wait was reasonable.,1,2024-07-30 11:26:59.477077,Surgery,18-30,Routine Checkup
"Treatment was as expected. Additionally, The physician was okay.",1,2024-07-30 11:26:59.482672,Cardiology,18-30,Routine Checkup
"Standard procedure. Additionally, Standard hospital environment. Additionally, The doctor was okay.",1,2024-07-30 11:26:59.484327,General Medicine,61-75,Routine Checkup
Basic but functional facility. Waited as expected. The staff member was present when needed.,1,2024-07-30 11:26:59.486004,General Medicine,18-30,Routine Checkup
specialist did their job as expected.,1,2024-07-30 11:26:59.486099,Emergency,46-60,Routine Checkup
The procedure went very well.,2,2024-07-30 11:26:59.486490,Orthopedics,46-60,Consultation
Excellent treatment results. The surgeon was extremely professional and caring.,2,2024-07-30 11:26:59.487601,General Medicine,61-75,Emergency
The specialist seemed rushed and inattentive! The procedure didn't help much.,0,2024-07-30 11:26:59.489975,Pediatrics,61-75,Routine Checkup
"The facility needs updating. Also, The procedure didn't help much. Also, The medical team didn't address my concerns.",0,2024-07-31 11:26:59.447948,Emergency,46-60,Emergency
Treatment was as expected.,1,2024-07-31 11:26:59.448946,Orthopedics,61-75,Routine Checkup
The treatment was okay.,1,2024-07-31 11:26:59.450529,Surgery,46-60,Follow-up
"Well-maintained hospital environment. Moreover, Very efficient process. Moreover, Very effective treatment.",2,2024-07-31 11:26:59.454057,General Medicine,31-45,Follow-up
"Excellent facilities. Moreover, The receptionist took time to explain everything clearly. Moreover, Very efficient process.",2,2024-07-31 11:26:59.456159,Pediatrics,61-75,Routine Checkup
The doctor was extremely professional and caring.,2,2024-07-31 11:26:59.456474,Obstetrics,75+,Routine Checkup
The doctor took time to explain everything clearly.,2,2024-07-31 11:26:59.457544,Emergency,31-45,Routine Checkup
The treatment was okay! The medical team was present when needed.,1,2024-07-31 11:26:59.458170,Pediatrics,46-60,Emergency
"Standard procedure. Also, Basic but functional facility.",1,2024-07-31 11:26:59.458261,Emergency,31-45,Emergency
"The treatment wasn't effective. Moreover, Outdated equipment. Moreover, Unacceptable delays.",0,2024-07-31 11:26:59.461476,Emergency,31-45,Consultation
"The wait was reasonable. Also, Standard hospital environment. Also, Standard procedure.",1,2024-07-31 11:26:59.467925,General Medicine,31-45,Consultation
The surgeon seemed rushed and inattentive.,0,2024-07-31 11:26:59.468659,Neurology,75+,Emergency
"Unsatisfactory treatment outcome. Moreover, Outdated equipment. Moreover, Excessive waiting time.",0,2024-07-31 11:26:59.471258,Neurology,61-75,Consultation
The facility was clean and modern.,2,2024-07-31 11:26:59.473764,Cardiology,61-75,Routine Checkup
"State-of-the-art equipment. Additionally, care team provided excellent care and attention.",2,2024-07-31 11:26:59.474685,Surgery,31-45,Routine Checkup
Normal wait times.,1,2024-07-31 11:26:59.475440,Neurology,75+,Consultation
The procedure didn't help much. Uncomfortable environment. The nurse was not very helpful.,0,2024-07-31 11:26:59.476303,Emergency,61-75,Follow-up
"Very effective treatment. Moreover, No delays in the appointment.",2,2024-07-31 11:26:59.477010,Surgery,31-45,Routine Checkup
"The healthcare provider was not very helpful. Additionally, Poor treatment experience.",0,2024-07-31 11:26:59.481313,Obstetrics,61-75,Consultation
"Impressed with how quickly I was seen. Moreover, The procedure went very well.",2,2024-07-31 11:26:59.481945,Oncology,61-75,Emergency
Cleanliness issues in the facility.,0,2024-07-31 11:26:59.483916,Emergency,61-75,Emergency
physician did their job as expected. Normal wait times.,1,2024-07-31 11:26:59.484502,Orthopedics,31-45,Follow-up
"The procedure went very well. Moreover, No delays in the appointment. Moreover, The specialist took time to explain everything clearly.",2,2024-07-31 11:26:59.484749,Obstetrics,18-30,Consultation
Well-maintained hospital environment.,2,2024-07-31 11:26:59.489122,Surgery,61-75,Routine Checkup
Well-maintained hospital environment.,2,2024-07-31 11:26:59.490112,Neurology,46-60,Routine Checkup
"Regular facility conditions. Moreover, Treatment was as expected.",1,2024-07-31 11:26:59.490638,Pediatrics,61-75,Emergency
Average waiting time! Regular facility conditions.,1,2024-07-31 11:26:59.491016,Oncology,46-60,Procedure
The medical team didn't address my concerns! Poor maintenance of the premises.,0,2024-07-31 11:26:59.492564,Neurology,18-30,Emergency
Had to wait too long! Disappointed with the staff member's attitude! Not happy with the results.,0,2024-08-01 11:26:59.444198,Pediatrics,18-30,Procedure
Very comfortable environment. Exceptional service from the receptionist.,2,2024-08-01 11:26:59.444537,Emergency,18-30,Emergency
"State-of-the-art equipment. Additionally, Got seen right away. Additionally, The procedure went very well.",2,2024-08-01 11:26:59.445346,Neurology,75+,Consultation
Waited as expected.,1,2024-08-01 11:26:59.446090,Cardiology,61-75,Consultation
The receptionist was extremely professional and caring. Minimal waiting time.,2,2024-08-01 11:26:59.448696,Oncology,46-60,Follow-up
surgeon did their job as expected! Standard procedure! Standard hospital environment.,1,2024-08-01 11:26:59.449388,Emergency,46-60,Routine Checkup
"No delays in the appointment. Moreover, receptionist provided excellent care and attention.",2,2024-08-01 11:26:59.450880,Emergency,61-75,Emergency
"Not happy with the results. Also, Had to wait too long. Also, Poor maintenance of the premises.",0,2024-08-01 11:26:59.454313,Pediatrics,75+,Follow-up
Average waiting time.,1,2024-08-01 11:26:59.456297,Obstetrics,46-60,Follow-up
"Poor treatment experience. Additionally, Spent hours waiting.",0,2024-08-01 11:26:59.458993,Neurology,46-60,Emergency
Not happy with the results.,0,2024-08-01 11:26:59.459574,Oncology,31-45,Emergency
"care team did their job as expected. Additionally, Average waiting time.",1,2024-08-01 11:26:59.460533,Obstetrics,18-30,Follow-up
"The doctor took time to explain everything clearly. Also, No delays in the appointment.",2,2024-08-01 11:26:59.460712,Pediatrics,75+,Consultation
"The waiting time was frustrating. Also, The treatment wasn't effective.",0,2024-08-01 11:26:59.461276,Pediatrics,75+,Emergency
staff member did their job as expected. Regular treatment process.,1,2024-08-01 11:26:59.462258,Cardiology,46-60,Follow-up
State-of-the-art equipment. Very effective treatment. staff member provided excellent care and attention.,2,2024-08-01 11:26:59.462982,General Medicine,46-60,Follow-up
The procedure went very well.,2,2024-08-01 11:26:59.465066,Emergency,61-75,Follow-up
Unacceptable delays.,0,2024-08-01 11:26:59.466137,Neurology,46-60,Emergency
"Average waiting time. Also, The treatment was okay.",1,2024-08-01 11:26:59.469128,Neurology,61-75,Procedure
"The treatment wasn't effective. Also, The facility needs updating. Also, Disappointed with the surgeon's attitude.",0,2024-08-01 11:26:59.469481,Oncology,75+,Follow-up
"healthcare provider did their job as expected. Moreover, Regular facility conditions.",1,2024-08-01 11:26:59.471253,Surgery,18-30,Consultation
Impressed with how quickly I was seen. Excellent facilities. Very impressed with the care team's expertise.,2,2024-08-01 11:26:59.475187,Emergency,31-45,Follow-up
The waiting time was frustrating.,0,2024-08-01 11:26:59.477428,Neurology,46-60,Follow-up
"Very effective treatment. Moreover, Impressed with how quickly I was seen.",2,2024-08-01 11:26:59.479136,Oncology,46-60,Consultation
"Poor maintenance of the premises. Also, Poor treatment experience.",0,2024-08-01 11:26:59.479163,Oncology,31-45,Follow-up
"Had to wait too long. Also, Disappointed with the medical team's attitude.",0,2024-08-01 11:26:59.479647,Orthopedics,46-60,Follow-up
Poor maintenance of the premises! Excessive waiting time! Unsatisfactory treatment outcome.,0,2024-08-01 11:26:59.491538,Cardiology,46-60,Consultation
"The nurse was not very helpful. Additionally, Uncomfortable environment. Additionally, The procedure didn't help much.",0,2024-08-01 11:26:59.492516,General Medicine,18-30,Emergency
receptionist did their job as expected! Normal wait times! Standard procedure.,1,2024-08-02 11:26:59.447930,Neurology,31-45,Procedure
The facility needs updating. Excessive waiting time.,0,2024-08-02 11:26:59.448890,General Medicine,61-75,Procedure
Well-maintained hospital environment.,2,2024-08-02 11:26:59.451575,Pediatrics,18-30,Procedure
The specialist was not very helpful.,0,2024-08-02 11:26:59.452091,Emergency,18-30,Emergency
"Minimal waiting time. Additionally, Exceptional service from the nurse.",2,2024-08-02 11:26:59.452418,Obstetrics,31-45,Routine Checkup
Excellent treatment results. Excellent facilities. Minimal waiting time.,2,2024-08-02 11:26:59.452853,General Medicine,46-60,Procedure
"Treatment was as expected. Additionally, Acceptable cleanliness.",1,2024-08-02 11:26:59.452965,Obstetrics,18-30,Follow-up
Very effective treatment! Very comfortable environment! Very impressed with the healthcare provider's expertise.,2,2024-08-02 11:26:59.453007,Neurology,31-45,Routine Checkup
"No delays in the appointment. Moreover, Exceptional service from the healthcare provider.",2,2024-08-02 11:26:59.454234,Cardiology,61-75,Routine Checkup
Standard hospital environment.,1,2024-08-02 11:26:59.461673,Emergency,31-45,Follow-up
Completely satisfied with the care received.,2,2024-08-02 11:26:59.461682,Emergency,75+,Routine Checkup
"Poor maintenance of the premises. Also, The physician seemed rushed and inattentive. Also, Not happy with the results.",0,2024-08-02 11:26:59.462217,Orthopedics,31-45,Emergency
"The facility was clean and modern. Moreover, Got seen right away.",2,2024-08-02 11:26:59.464522,Cardiology,46-60,Emergency
"The surgeon seemed rushed and inattentive. Moreover, Not happy with the results.",0,2024-08-02 11:26:59.466657,Orthopedics,18-30,Procedure
"care team provided excellent care and attention. Also, Got seen right away.",2,2024-08-02 11:26:59.467062,General Medicine,46-60,Procedure
Very efficient process. Great outcome from the treatment. Excellent facilities.,2,2024-08-02 11:26:59.470406,Oncology,46-60,Follow-up
doctor provided excellent care and attention! The procedure went very well! Well-maintained hospital environment.,2,2024-08-02 11:26:59.470937,Cardiology,18-30,Consultation
Excellent treatment results. Very efficient process.,2,2024-08-02 11:26:59.473989,Oncology,46-60,Procedure
"Spent hours waiting. Moreover, The facility needs updating.",0,2024-08-02 11:26:59.473999,Neurology,75+,Consultation
"The facility needs updating. Also, The nurse was not very helpful. Also, Not happy with the results.",0,2024-08-02 11:26:59.476786,Obstetrics,18-30,Follow-up
Not happy with the results.,0,2024-08-02 11:26:59.477911,Oncology,18-30,Routine Checkup
"Normal wait times. Moreover, Regular interaction with the doctor.",1,2024-08-02 11:26:59.478951,Emergency,61-75,Follow-up
Minimal waiting time.,2,2024-08-02 11:26:59.479324,Cardiology,31-45,Routine Checkup
Excellent facilities.,2,2024-08-02 11:26:59.482970,General Medicine,46-60,Emergency
Completely satisfied with the care received.,2,2024-08-02 11:26:59.483805,Cardiology,18-30,Follow-up
Average waiting time. Standard hospital environment. The surgeon was present when needed.,1,2024-08-02 11:26:59.484015,Surgery,61-75,Emergency
"Very impressed with the surgeon's expertise. Also, Impressed with how quickly I was seen. Also, Great outcome from the treatment.",2,2024-08-02 11:26:59.486787,Cardiology,18-30,Consultation
The procedure didn't help much. Outdated equipment. The staff member didn't address my concerns.,0,2024-08-02 11:26:59.488103,General Medicine,75+,Emergency
Minimal waiting time.,2,2024-08-02 11:26:59.488530,Cardiology,75+,Emergency
The nurse was present when needed.,1,2024-08-02 11:26:59.489671,Neurology,75+,Follow-up
"The surgeon was okay. Moreover, Average waiting time.",1,2024-08-03 11:26:59.449056,Neurology,61-75,Procedure
The specialist was present when needed. Average waiting time. Standard hospital environment.,1,2024-08-03 11:26:59.451589,Oncology,61-75,Emergency
The facility needs updating.,0,2024-08-03 11:26:59.455241,Cardiology,46-60,Emergency
"Excessive waiting time. Additionally, The healthcare provider seemed rushed and inattentive.",0,2024-08-03 11:26:59.456927,Surgery,46-60,Follow-up
Had to wait too long. The care team didn't address my concerns. The treatment wasn't effective.,0,2024-08-03 11:26:59.458489,Emergency,18-30,Routine Checkup
Cleanliness issues in the facility.,0,2024-08-03 11:26:59.460692,Oncology,31-45,Emergency
"Outdated equipment. Also, The care team didn't address my concerns.",0,2024-08-03 11:26:59.462286,General Medicine,46-60,Consultation
"Exceptional service from the medical team. Also, Very effective treatment. Also, Minimal waiting time.",2,2024-08-03 11:26:59.463945,General Medicine,75+,Procedure
Waited as expected. The treatment was okay.,1,2024-08-03 11:26:59.468442,Cardiology,31-45,Procedure
"Spent hours waiting. Additionally, Cleanliness issues in the facility.",0,2024-08-03 11:26:59.471840,Oncology,46-60,Routine Checkup
Great outcome from the treatment.,2,2024-08-03 11:26:59.474786,Cardiology,75+,Routine Checkup
"The doctor seemed rushed and inattentive. Moreover, The waiting time was frustrating.",0,2024-08-03 11:26:59.475829,Pediatrics,75+,Follow-up
The waiting time was frustrating.,0,2024-08-03 11:26:59.476537,Surgery,31-45,Emergency
"Poor treatment experience. Moreover, The waiting time was frustrating. Moreover, Disappointed with the receptionist's attitude.",0,2024-08-03 11:26:59.478893,Oncology,61-75,Follow-up
Very effective treatment! Very efficient process.,2,2024-08-03 11:26:59.480053,Cardiology,18-30,Emergency
"Very effective treatment. Also, The physician was extremely professional and caring.",2,2024-08-03 11:26:59.481687,Obstetrics,18-30,Emergency
Spent hours waiting.,0,2024-08-03 11:26:59.482612,Pediatrics,75+,Emergency
Regular facility conditions! The wait was reasonable! Regular treatment process.,1,2024-08-03 11:26:59.484598,General Medicine,46-60,Emergency
The procedure went very well.,2,2024-08-03 11:26:59.485685,Cardiology,61-75,Routine Checkup
medical team did their job as expected.,1,2024-08-03 11:26:59.488559,Cardiology,61-75,Emergency
Excellent facilities! The surgeon took time to explain everything clearly.,2,2024-08-03 11:26:59.489421,Orthopedics,61-75,Routine Checkup
"Impressed with how quickly I was seen. Moreover, The nurse was extremely professional and caring. Moreover, Great outcome from the treatment.",2,2024-08-03 11:26:59.490945,Pediatrics,75+,Follow-up
Average waiting time. Basic but functional facility. Treatment was as expected.,1,2024-08-03 11:26:59.493080,Neurology,75+,Emergency
"Unacceptable delays. Also, Cleanliness issues in the facility. Also, The treatment wasn't effective.",0,2024-08-04 11:26:59.445231,Pediatrics,75+,Emergency
The facility was clean and modern.,2,2024-08-04 11:26:59.445473,Neurology,61-75,Procedure
"Uncomfortable environment. Also, Not happy with the results.",0,2024-08-04 11:26:59.449089,Neurology,31-45,Follow-up
Had to wait too long.,0,2024-08-04 11:26:59.451474,Oncology,75+,Follow-up
Regular treatment process.,1,2024-08-04 11:26:59.454159,Obstetrics,75+,Consultation
The procedure didn't help much. The waiting time was frustrating. Uncomfortable environment.,0,2024-08-04 11:26:59.457618,Pediatrics,46-60,Routine Checkup
"The medical team didn't address my concerns. Moreover, Not happy with the results. Moreover, Poor maintenance of the premises.",0,2024-08-04 11:26:59.458413,Pediatrics,18-30,Follow-up
Very comfortable environment.,2,2024-08-04 11:26:59.460269,Surgery,75+,Routine Checkup
Acceptable cleanliness! Regular interaction with the healthcare provider.,1,2024-08-04 11:26:59.467575,Pediatrics,75+,Procedure
"State-of-the-art equipment. Additionally, No delays in the appointment. Additionally, Very effective treatment.",2,2024-08-04 11:26:59.469951,Pediatrics,18-30,Emergency
Impressed with how quickly I was seen.,2,2024-08-04 11:26:59.470388,Neurology,75+,Follow-up
Excellent treatment results. Very impressed with the doctor's expertise.,2,2024-08-04 11:26:59.474545,Orthopedics,31-45,Routine Checkup
Uncomfortable environment.,0,2024-08-04 11:26:59.475093,Cardiology,46-60,Emergency
Got seen right away! Well-maintained hospital environment! Exceptional service from the physician.,2,2024-08-04 11:26:59.477001,Pediatrics,61-75,Emergency
specialist did their job as expected.,1,2024-08-04 11:26:59.477437,Surgery,18-30,Routine Checkup
Unsatisfactory treatment outcome.,0,2024-08-04 11:26:59.477986,Emergency,18-30,Routine Checkup
"Very efficient process. Additionally, Excellent facilities.",2,2024-08-04 11:26:59.478030,Obstetrics,18-30,Routine Checkup
Impressed with how quickly I was seen.,2,2024-08-04 11:26:59.479060,Pediatrics,46-60,Follow-up
"The procedure didn't help much. Additionally, Excessive waiting time. Additionally, Outdated equipment.",0,2024-08-04 11:26:59.480754,Surgery,61-75,Emergency
"Acceptable cleanliness. Also, Average waiting time. Also, The doctor was present when needed.",1,2024-08-04 11:26:59.484024,Obstetrics,31-45,Emergency
Average waiting time.,1,2024-08-04 11:26:59.484161,Neurology,75+,Follow-up
"Unacceptable delays. Also, Disappointed with the care team's attitude. Also, Cleanliness issues in the facility.",0,2024-08-04 11:26:59.484236,Obstetrics,46-60,Follow-up
Average waiting time.,1,2024-08-04 11:26:59.487511,Pediatrics,18-30,Follow-up
"Had to wait too long. Moreover, Not happy with the results.",0,2024-08-04 11:26:59.488084,Obstetrics,75+,Routine Checkup
The procedure didn't help much! The facility needs updating.,0,2024-08-04 11:26:59.491472,Pediatrics,46-60,Emergency
Spent hours waiting. The facility needs updating. The treatment wasn't effective.,0,2024-08-04 11:26:59.491778,Surgery,75+,Procedure
Exceptional service from the care team. Minimal waiting time.,2,2024-08-05 11:26:59.444471,Orthopedics,75+,Procedure
"Got seen right away. Also, Excellent facilities.",2,2024-08-05 11:26:59.445677,Orthopedics,31-45,Follow-up
"The facility needs updating. Moreover, Spent hours waiting.",0,2024-08-05 11:26:59.447854,Surgery,46-60,Consultation
"Normal wait times. Also, Regular facility conditions.",1,2024-08-05 11:26:59.447897,Pediatrics,75+,Emergency
"The healthcare provider was okay. Also, Standard hospital environment. Also, The wait was reasonable.",1,2024-08-05 11:26:59.450912,Obstetrics,46-60,Routine Checkup
The procedure went very well! Very efficient process.,2,2024-08-05 11:26:59.455213,Oncology,46-60,Emergency
Got seen right away.,2,2024-08-05 11:26:59.457056,Surgery,31-45,Consultation
Exceptional service from the care team.,2,2024-08-05 11:26:59.463581,Neurology,18-30,Consultation
"The care team didn't address my concerns. Moreover, Unacceptable delays.",0,2024-08-05 11:26:59.466090,Surgery,46-60,Procedure
"The procedure went very well. Additionally, The healthcare provider was extremely professional and caring.",2,2024-08-05 11:26:59.469465,Oncology,75+,Follow-up
Standard hospital environment.,1,2024-08-05 11:26:59.469751,Obstetrics,61-75,Emergency
Very impressed with the medical team's expertise.,2,2024-08-05 11:26:59.470848,Surgery,61-75,Routine Checkup
The physician was present when needed.,1,2024-08-05 11:26:59.471395,Neurology,61-75,Emergency
Well-maintained hospital environment. Very efficient process. Great outcome from the treatment.,2,2024-08-05 11:26:59.471561,Obstetrics,46-60,Emergency
Treatment was as expected.,1,2024-08-05 11:26:59.472506,Emergency,61-75,Follow-up
"Excellent facilities. Additionally, The procedure went very well. Additionally, Impressed with how quickly I was seen.",2,2024-08-05 11:26:59.473269,Cardiology,46-60,Procedure
"Very impressed with the care team's expertise. Also, Excellent treatment results.",2,2024-08-05 11:26:59.475352,Surgery,75+,Follow-up
"The treatment wasn't effective. Also, The facility needs updating.",0,2024-08-05 11:26:59.476184,Obstetrics,75+,Consultation
Very effective treatment.,2,2024-08-05 11:26:59.476698,Pediatrics,46-60,Procedure
Poor communication from the healthcare provider.,0,2024-08-05 11:26:59.477924,Oncology,61-75,Emergency
Basic but functional facility.,1,2024-08-05 11:26:59.478095,Neurology,75+,Procedure
"Acceptable cleanliness. Also, Regular treatment process. Also, Regular interaction with the doctor.",1,2024-08-05 11:26:59.478189,Cardiology,75+,Emergency
Minimal waiting time! Very impressed with the doctor's expertise.,2,2024-08-05 11:26:59.480920,General Medicine,31-45,Procedure
"Average waiting time. Additionally, Standard procedure. Additionally, Acceptable cleanliness.",1,2024-08-05 11:26:59.485041,Orthopedics,31-45,Procedure
Basic but functional facility. Average waiting time.,1,2024-08-05 11:26:59.485671,Obstetrics,46-60,Follow-up
Unacceptable delays. Poor communication from the surgeon. Cleanliness issues in the facility.,0,2024-08-05 11:26:59.486085,Obstetrics,31-45,Routine Checkup
Waited as expected. Regular treatment process. Basic but functional facility.,1,2024-08-05 11:26:59.488196,Oncology,31-45,Emergency
The healthcare provider was okay.,1,2024-08-05 11:26:59.489079,Orthopedics,61-75,Consultation
Very effective treatment! care team provided excellent care and attention! Impressed with how quickly I was seen.,2,2024-08-05 11:26:59.490662,Emergency,18-30,Routine Checkup
Outdated equipment! Disappointed with the receptionist's attitude.,0,2024-08-05 11:26:59.490713,Surgery,18-30,Follow-up
"Unsatisfactory treatment outcome. Also, The waiting time was frustrating. Also, Poor maintenance of the premises.",0,2024-08-05 11:26:59.492510,Neurology,18-30,Routine Checkup
Normal wait times.,1,2024-08-05 11:26:59.492904,Cardiology,46-60,Consultation
nurse did their job as expected.,1,2024-08-06 11:26:59.446561,Oncology,31-45,Consultation
"Great outcome from the treatment. Also, Very efficient process.",2,2024-08-06 11:26:59.446822,Orthopedics,31-45,Follow-up
specialist provided excellent care and attention.,2,2024-08-06 11:26:59.448316,Orthopedics,46-60,Consultation
The procedure went very well! Excellent facilities! No delays in the appointment.,2,2024-08-06 11:26:59.450618,Cardiology,61-75,Procedure
Uncomfortable environment.,0,2024-08-06 11:26:59.453123,Oncology,18-30,Routine Checkup
Very comfortable environment. Impressed with how quickly I was seen.,2,2024-08-06 11:26:59.454048,Obstetrics,75+,Emergency
Regular treatment process.,1,2024-08-06 11:26:59.454838,Emergency,61-75,Routine Checkup
"physician did their job as expected. Additionally, Normal wait times.",1,2024-08-06 11:26:59.455414,Obstetrics,31-45,Procedure
Excessive waiting time.,0,2024-08-06 11:26:59.457106,General Medicine,31-45,Procedure
"Minimal waiting time. Also, Excellent treatment results. Also, The healthcare provider was extremely professional and caring.",2,2024-08-06 11:26:59.458462,Orthopedics,18-30,Routine Checkup
"Great outcome from the treatment. Also, Minimal waiting time. Also, Well-maintained hospital environment.",2,2024-08-06 11:26:59.459716,Emergency,75+,Emergency
The treatment was okay.,1,2024-08-06 11:26:59.459742,Pediatrics,75+,Routine Checkup
"Poor maintenance of the premises. Moreover, Unsatisfactory treatment outcome.",0,2024-08-06 11:26:59.461726,Neurology,75+,Routine Checkup
Spent hours waiting.,0,2024-08-06 11:26:59.463850,General Medicine,18-30,Follow-up
care team provided excellent care and attention. No delays in the appointment. Excellent treatment results.,2,2024-08-06 11:26:59.465082,Obstetrics,18-30,Consultation
physician did their job as expected.,1,2024-08-06 11:26:59.465368,Cardiology,61-75,Follow-up
"No delays in the appointment. Additionally, staff member provided excellent care and attention. Additionally, The procedure went very well.",2,2024-08-06 11:26:59.469906,Orthopedics,75+,Follow-up
The medical team was okay.,1,2024-08-06 11:26:59.472614,Neurology,61-75,Consultation
"The wait was reasonable. Additionally, The nurse was present when needed. Additionally, Acceptable cleanliness.",1,2024-08-06 11:26:59.474404,Surgery,46-60,Consultation
"Very comfortable environment. Also, Exceptional service from the receptionist.",2,2024-08-06 11:26:59.475319,Pediatrics,46-60,Follow-up
doctor did their job as expected.,1,2024-08-06 11:26:59.475867,Emergency,75+,Consultation
Had to wait too long.,0,2024-08-06 11:26:59.476416,Obstetrics,61-75,Procedure
The waiting time was frustrating.,0,2024-08-06 11:26:59.477059,Cardiology,31-45,Follow-up
doctor provided excellent care and attention! Very effective treatment.,2,2024-08-06 11:26:59.479670,Surgery,61-75,Consultation
The physician was okay.,1,2024-08-06 11:26:59.480166,Obstetrics,31-45,Consultation
"The surgeon took time to explain everything clearly. Additionally, Got seen right away.",2,2024-08-06 11:26:59.481917,Neurology,75+,Consultation
"The wait was reasonable. Also, Standard procedure. Also, Acceptable cleanliness.",1,2024-08-06 11:26:59.482117,Pediatrics,31-45,Follow-up
The wait was reasonable.,1,2024-08-06 11:26:59.484887,Neurology,31-45,Emergency
"Exceptional service from the medical team. Moreover, State-of-the-art equipment.",2,2024-08-06 11:26:59.485424,Surgery,75+,Procedure
Basic but functional facility.,1,2024-08-06 11:26:59.488594,Pediatrics,75+,Emergency
Poor communication from the specialist! Uncomfortable environment.,0,2024-08-06 11:26:59.489804,Surgery,61-75,Follow-up
Poor maintenance of the premises.,0,2024-08-06 11:26:59.489808,Neurology,18-30,Routine Checkup
Very impressed with the doctor's expertise.,2,2024-08-07 11:26:59.449594,Oncology,46-60,Follow-up
Very effective treatment! The surgeon was extremely professional and caring.,2,2024-08-07 11:26:59.449802,Emergency,31-45,Consultation
The treatment was okay.,1,2024-08-07 11:26:59.450970,Emergency,31-45,Procedure
"Well-maintained hospital environment. Also, The surgeon took time to explain everything clearly.",2,2024-08-07 11:26:59.454394,Pediatrics,18-30,Emergency
Outdated equipment.,0,2024-08-07 11:26:59.454686,Emergency,61-75,Consultation
"Unacceptable delays. Also, Outdated equipment.",0,2024-08-07 11:26:59.456037,Obstetrics,31-45,Follow-up
"Very comfortable environment. Additionally, Completely satisfied with the care received.",2,2024-08-07 11:26:59.456101,Cardiology,46-60,Routine Checkup
"Treatment was as expected. Also, Acceptable cleanliness. Also, specialist did their job as expected.",1,2024-08-07 11:26:59.457575,Orthopedics,18-30,Procedure
